Depression,Trait Anxiety,Eating Disorder,Alcohol Addiction,Impulsivity,Schizophrenia,Obsessive Compulsive Disorder,Apathy,Social Anxiety,Induced Pathology,Iteration
0.21666666666666667,0.3333333333333333,0.21794871794871795,0.2,0.4,0.16279069767441862,0.36666666666666664,0.6481481481481481,0.22916666666666666,No Pathology,1
0.7333333333333333,0.5833333333333334,0.28205128205128205,0.4,0.5222222222222223,0.6744186046511628,0.5,0.7962962962962963,0.2152777777777778,Depression,1
0.6833333333333333,0.9166666666666666,0.19230769230769232,0.45,0.5333333333333333,0.6744186046511628,0.4166666666666667,0.5925925925925926,0.25,Trait Anxiety,1
0.6833333333333333,0.8333333333333334,0.4358974358974359,0.575,0.4666666666666667,0.6744186046511628,0.45,0.5925925925925926,0.2569444444444444,Eating Disorder,1
0.7166666666666667,0.8833333333333333,0.3974358974358974,0.525,0.5444444444444444,0.7209302325581395,0.45,0.5370370370370371,0.2361111111111111,Alcohol Addiction,1
0.65,0.8333333333333334,0.34615384615384615,0.6,0.5888888888888889,0.6511627906976745,0.55,0.8518518518518519,0.19444444444444445,Impulsivity,1
0.7166666666666667,0.8666666666666667,0.48717948717948717,0.5,0.5333333333333333,0.6744186046511628,0.45,0.5925925925925926,0.19444444444444445,Schizophrenia,1
0.65,0.85,0.3076923076923077,0.425,0.4666666666666667,0.6744186046511628,0.5166666666666667,0.5,0.20833333333333334,Obsessive Compulsive Disorder,1
0.5,0.5833333333333334,0.32051282051282054,0.325,0.4888888888888889,0.7209302325581395,0.48333333333333334,0.7777777777777778,0.2638888888888889,Apathy,1
0.7166666666666667,0.8333333333333334,0.358974358974359,0.55,0.5444444444444444,0.6976744186046512,0.38333333333333336,0.5740740740740741,0.2361111111111111,Social Anxiety,1
0.3,0.25,0.23076923076923078,0.025,0.4777777777777778,0.18604651162790697,0.3333333333333333,0.5185185185185185,0.24305555555555555,No Pathology,2
0.4666666666666667,0.6666666666666666,0.2948717948717949,0.475,0.5888888888888889,0.6744186046511628,0.5,0.6666666666666666,0.3055555555555556,Depression,2
0.7,0.8833333333333333,0.28205128205128205,0.4,0.5222222222222223,0.6976744186046512,0.43333333333333335,0.5185185185185185,0.1736111111111111,Trait Anxiety,2
0.75,0.8333333333333334,0.5128205128205128,0.425,0.5666666666666667,0.6744186046511628,0.5,0.4074074074074074,0.2361111111111111,Eating Disorder,2
0.8,0.7666666666666667,0.44871794871794873,0.625,0.5777777777777777,0.6511627906976745,0.5333333333333333,0.7037037037037037,0.2361111111111111,Alcohol Addiction,2
0.7833333333333333,0.9333333333333333,0.34615384615384615,0.525,0.6222222222222222,0.7906976744186046,0.43333333333333335,0.5925925925925926,0.3055555555555556,Impulsivity,2
0.7333333333333333,0.8833333333333333,0.4358974358974359,0.475,0.5333333333333333,0.7209302325581395,0.5333333333333333,0.42592592592592593,0.2013888888888889,Schizophrenia,2
0.75,0.9,0.41025641025641024,0.625,0.4222222222222222,0.6511627906976745,0.6333333333333333,0.6111111111111112,0.2986111111111111,Obsessive Compulsive Disorder,2
0.5666666666666667,0.6166666666666667,0.32051282051282054,0.325,0.3888888888888889,0.6976744186046512,0.5,0.6296296296296297,0.25,Apathy,2
0.7166666666666667,0.8333333333333334,0.3717948717948718,0.35,0.5111111111111111,0.6511627906976745,0.4666666666666667,0.5,0.2916666666666667,Social Anxiety,2
0.2833333333333333,0.43333333333333335,0.4230769230769231,0.2,0.4777777777777778,0.11627906976744186,0.31666666666666665,0.5925925925925926,0.18055555555555555,No Pathology,3
0.7666666666666667,0.8666666666666667,0.2692307692307692,0.55,0.5222222222222223,0.6976744186046512,0.31666666666666665,0.7037037037037037,0.2222222222222222,Depression,3
0.7166666666666667,0.8666666666666667,0.38461538461538464,0.4,0.4888888888888889,0.6744186046511628,0.5,0.46296296296296297,0.1875,Trait Anxiety,3
0.7,0.6666666666666666,0.5,0.475,0.4888888888888889,0.6744186046511628,0.43333333333333335,0.6851851851851852,0.2222222222222222,Eating Disorder,3
0.8166666666666667,0.9,0.3974358974358974,0.55,0.6,0.6744186046511628,0.38333333333333336,0.6296296296296297,0.2777777777777778,Alcohol Addiction,3
0.6166666666666667,0.8,0.5641025641025641,0.625,0.5777777777777777,0.6744186046511628,0.4666666666666667,0.3333333333333333,0.20833333333333334,Impulsivity,3
0.75,0.8833333333333333,0.34615384615384615,0.45,0.5555555555555556,0.7441860465116279,0.5166666666666667,0.7037037037037037,0.2777777777777778,Schizophrenia,3
0.6666666666666666,0.8666666666666667,0.6025641025641025,0.825,0.5111111111111111,0.6744186046511628,0.5666666666666667,0.5,0.25,Obsessive Compulsive Disorder,3
0.5833333333333334,0.55,0.3076923076923077,0.175,0.45555555555555555,0.627906976744186,0.38333333333333336,0.7222222222222222,0.19444444444444445,Apathy,3
0.7833333333333333,0.7666666666666667,0.34615384615384615,0.425,0.5333333333333333,0.6976744186046512,0.5333333333333333,0.6296296296296297,0.4305555555555556,Social Anxiety,3
0.26666666666666666,0.43333333333333335,0.23076923076923078,0.125,0.4,0.6511627906976745,0.3,0.5740740740740741,0.2361111111111111,No Pathology,4
0.75,0.5,0.3333333333333333,0.725,0.5555555555555556,0.6976744186046512,0.4,0.6481481481481481,0.25,Depression,4
0.7,0.9,0.3974358974358974,0.725,0.4888888888888889,0.6744186046511628,0.4,0.5925925925925926,0.19444444444444445,Trait Anxiety,4
0.7666666666666667,0.8333333333333334,0.5256410256410257,0.675,0.5,0.6976744186046512,0.5833333333333334,0.4074074074074074,0.19444444444444445,Eating Disorder,4
