Depression,Trait Anxiety,Eating Disorder,Alcohol Addiction,Impulsivity,Schizophrenia,Obsessive Compulsive Disorder,Apathy,Social Anxiety,Induced Pathology,Iteration
0.45,0.35,0.24358974358974358,0.25,0.5,0.5813953488372093,0.21666666666666667,0.2777777777777778,0.5138888888888888,No Pathology,1
0.5,0.55,0.32051282051282054,0.6,0.5333333333333333,0.6744186046511628,0.6166666666666667,0.18518518518518517,0.6527777777777778,Depression,1
0.5666666666666667,0.5333333333333333,0.358974358974359,0.425,0.5666666666666667,0.6976744186046512,0.7166666666666667,0.18518518518518517,0.6458333333333334,Trait Anxiety,1
0.5666666666666667,0.5833333333333334,0.20512820512820512,0.475,0.5333333333333333,0.7441860465116279,0.6333333333333333,0.18518518518518517,0.6875,Eating Disorder,1
0.43333333333333335,0.55,0.2692307692307692,0.8,0.5555555555555556,0.7441860465116279,0.6666666666666666,0.16666666666666666,0.6875,Alcohol Addiction,1
0.5333333333333333,0.5666666666666667,0.28205128205128205,0.375,0.5555555555555556,0.627906976744186,0.4166666666666667,0.35185185185185186,0.6805555555555556,Impulsivity,1
0.5166666666666667,0.55,0.24358974358974358,0.6,0.5666666666666667,0.46511627906976744,0.6,0.2962962962962963,0.6666666666666666,Schizophrenia,1
0.5333333333333333,0.55,0.358974358974359,0.475,0.5666666666666667,0.5116279069767442,0.5833333333333334,0.2037037037037037,0.6319444444444444,Obsessive Compulsive Disorder,1
0.48333333333333334,0.5166666666666667,0.1282051282051282,0.525,0.5555555555555556,0.32558139534883723,0.6666666666666666,0.2962962962962963,0.7777777777777778,Apathy,1
0.45,0.55,0.23076923076923078,0.425,0.5666666666666667,0.6976744186046512,0.7333333333333333,0.18518518518518517,0.7291666666666666,Social Anxiety,1
0.5166666666666667,0.31666666666666665,0.20512820512820512,0.175,0.5333333333333333,0.5348837209302325,0.25,0.2777777777777778,0.4791666666666667,No Pathology,2
0.5,0.55,0.14102564102564102,0.55,0.5444444444444444,0.6046511627906976,0.5,0.16666666666666666,0.75,Depression,2
0.5666666666666667,0.55,0.32051282051282054,0.55,0.5444444444444444,0.5813953488372093,0.6833333333333333,0.2222222222222222,0.6388888888888888,Trait Anxiety,2
0.36666666666666664,0.55,0.2948717948717949,0.475,0.5444444444444444,0.7209302325581395,0.55,0.24074074074074073,0.6944444444444444,Eating Disorder,2
0.5166666666666667,0.55,0.3333333333333333,0.725,0.5555555555555556,0.6744186046511628,0.7166666666666667,0.2037037037037037,0.6805555555555556,Alcohol Addiction,2
0.5,0.6,0.2692307692307692,0.325,0.5555555555555556,0.6046511627906976,0.3333333333333333,0.3148148148148148,0.7083333333333334,Impulsivity,2
0.5,0.55,0.20512820512820512,0.525,0.5444444444444444,0.5116279069767442,0.6166666666666667,0.2037037037037037,0.6111111111111112,Schizophrenia,2
0.45,0.55,0.20512820512820512,0.4,0.5555555555555556,0.5581395348837209,0.6166666666666667,0.16666666666666666,0.6527777777777778,Obsessive Compulsive Disorder,2
0.5,0.5333333333333333,0.19230769230769232,0.6,0.5777777777777777,0.4186046511627907,0.6333333333333333,0.24074074074074073,0.6736111111111112,Apathy,2
0.5666666666666667,0.55,0.20512820512820512,0.45,0.5444444444444444,0.6744186046511628,0.7,0.2037037037037037,0.6527777777777778,Social Anxiety,2
0.48333333333333334,0.4166666666666667,0.20512820512820512,0.275,0.5555555555555556,0.4883720930232558,0.23333333333333334,0.3888888888888889,0.4583333333333333,No Pathology,3
0.48333333333333334,0.55,0.2692307692307692,0.7,0.5444444444444444,0.32558139534883723,0.6833333333333333,0.2222222222222222,0.6388888888888888,Depression,3
