Depression,Trait Anxiety,Eating Disorder,Alcohol Addiction,Impulsivity,Schizophrenia,Obsessive Compulsive Disorder,Apathy,Social Anxiety,Induced Pathology,Iteration
0.5166666666666667,0.0,0.3076923076923077,0.0,0.5777777777777777,0.627906976744186,0.2166666666666666,0.7962962962962963,0.6597222222222222,No Pathology,1
0.6333333333333333,0.9,0.0512820512820512,0.775,0.6333333333333333,0.6976744186046512,0.7333333333333333,0.6851851851851852,0.4444444444444444,Depression,1
0.6,0.8333333333333334,0.7692307692307693,0.075,0.6,0.813953488372093,0.6666666666666666,0.2592592592592592,0.4444444444444444,Trait Anxiety,1
0.5166666666666667,0.65,0.6794871794871795,0.15,0.5,0.2325581395348837,0.5666666666666667,0.7037037037037037,0.6041666666666666,Eating Disorder,1
0.55,0.85,0.6794871794871795,0.725,0.6222222222222222,0.6046511627906976,0.6666666666666666,0.5185185185185185,0.5069444444444444,Alcohol Addiction,1
0.55,0.8,0.1538461538461538,0.825,0.6333333333333333,0.6976744186046512,0.85,0.8703703703703703,0.6805555555555556,Impulsivity,1
0.7166666666666667,0.7166666666666667,0.7307692307692307,0.875,0.5666666666666667,0.813953488372093,0.6666666666666666,0.4814814814814814,0.5625,Schizophrenia,1
0.7,0.65,0.7307692307692307,0.025,0.5777777777777777,0.813953488372093,0.7333333333333333,0.5,0.6944444444444444,Obsessive Compulsive Disorder,1
0.6166666666666667,0.75,0.0897435897435897,0.125,0.5222222222222223,0.7441860465116279,0.0166666666666666,0.9444444444444444,0.5416666666666666,Apathy,1
0.7833333333333333,0.65,0.5897435897435898,0.8,0.7222222222222222,0.5348837209302325,0.4666666666666667,0.2037037037037037,0.7638888888888888,Social Anxiety,1
0.4833333333333333,0.85,0.2307692307692307,0.425,0.4888888888888889,0.7441860465116279,1.0,0.0555555555555555,0.5763888888888888,No Pathology,2
0.8833333333333333,0.75,0.5128205128205128,0.5,0.7333333333333333,0.6976744186046512,0.7166666666666667,0.8333333333333334,0.6666666666666666,Depression,2
0.6666666666666666,0.9166666666666666,0.5384615384615384,0.75,0.5111111111111111,0.627906976744186,0.9166666666666666,0.4444444444444444,0.6458333333333334,Trait Anxiety,2
0.5833333333333334,0.6666666666666666,0.5512820512820513,0.275,0.3777777777777777,0.5348837209302325,0.6,0.6851851851851852,0.7430555555555556,Eating Disorder,2
0.4666666666666667,0.7,0.2307692307692307,0.7,0.4777777777777778,0.813953488372093,0.5833333333333334,0.1111111111111111,0.2777777777777778,Alcohol Addiction,2
0.6333333333333333,0.7166666666666667,0.5,0.675,0.8,0.7674418604651163,0.5,0.7037037037037037,0.7986111111111112,Impulsivity,2
0.55,0.4666666666666667,0.3461538461538461,0.75,0.8111111111111111,0.813953488372093,0.8666666666666667,0.8703703703703703,0.8263888888888888,Schizophrenia,2
0.4833333333333333,0.8166666666666667,0.8333333333333334,0.275,0.5111111111111111,0.7674418604651163,0.8,0.3888888888888889,0.6666666666666666,Obsessive Compulsive Disorder,2
0.7666666666666667,0.6,0.4615384615384615,0.2,0.6111111111111112,0.7674418604651163,0.0,0.5555555555555556,0.5555555555555556,Apathy,2
0.6333333333333333,0.7,0.6794871794871795,0.75,0.3777777777777777,0.3720930232558139,0.55,0.4444444444444444,0.4652777777777778,Social Anxiety,2
0.4333333333333333,0.1833333333333333,0.5512820512820513,0.15,0.5666666666666667,0.6046511627906976,0.0166666666666666,0.2592592592592592,0.5138888888888888,No Pathology,3
0.3833333333333333,0.8666666666666667,0.6923076923076923,0.825,0.7111111111111111,0.6511627906976745,0.5333333333333333,0.7962962962962963,0.6041666666666666,Depression,3
0.4833333333333333,0.9166666666666666,0.717948717948718,0.725,0.6333333333333333,0.627906976744186,0.05,0.4814814814814814,0.6458333333333334,Trait Anxiety,3
0.6833333333333333,0.6833333333333333,0.6923076923076923,0.575,0.4777777777777778,0.813953488372093,0.95,0.4444444444444444,0.4583333333333333,Eating Disorder,3
0.45,0.8666666666666667,0.3333333333333333,0.8,0.7222222222222222,0.813953488372093,0.8666666666666667,0.3703703703703703,0.6527777777777778,Alcohol Addiction,3
0.4666666666666667,0.4666666666666667,0.9615384615384616,0.675,0.7222222222222222,0.7441860465116279,0.6166666666666667,0.2407407407407407,0.6736111111111112,Impulsivity,3
0.5,0.5833333333333334,0.3461538461538461,0.475,0.5666666666666667,0.7906976744186046,0.5666666666666667,0.2592592592592592,0.5694444444444444,Schizophrenia,3
0.5166666666666667,0.7833333333333333,0.5128205128205128,0.325,0.6555555555555556,0.6976744186046512,0.6833333333333333,0.3888888888888889,0.3958333333333333,Obsessive Compulsive Disorder,3
